150	163	39.5	147	477	271	11.4	83.5	114	46.6	9.52	38.5	48.5	67.1	191	22.1	67.9	189	0	0	705	27.4	249	35.5	75.4	90.4	964	1730	249	141	1150	424	824	846	431	144	7.18e-09	65.7	219	4.19e-09
178	124	19.9	57.6	123	352	2.65e-09	114	68.9	89.9	1.34e-08	5.45	59.2	27.2	325	112	149	274	0	0	648	136	207	144	44.7	93.9	940	1640	231	2.19e-09	1430	219	108	694	63.9	256	7.35e-09	64.2	184	344
307	127	72.5	117	256	421	29.1	69.9	96.2	38.3	0	0	53.1	53.1	158	229	362	86.5	0	0	668	266	286	86.8	73.3	70	460	2330	144	437	2250	231	2.82e-09	743	257	163	7.47e-09	63.2	229	4e-09
4.79e-09	136	399	113	695	1.19e-09	61.3	151	48.8	198	108	19	58.9	29.2	99.6	569	378	142	0	0	786	50.5	286	33.7	38.8	59.7	75.6	2880	229	203	721	1240	266	782	422	184	6.79e-09	69.5	167	5.5e-09
64.3	128	106	49.3	171	437	4.01e-09	75.3	149	32.4	1.04e-08	7.02	58.7	31.4	367	171	260	179	0	0	657	124	309	104	20.5	110	789	2610	214	148	1200	227	16.7	699	209	219	7.02e-09	67.2	158	5.8e-09
194	156	35.9	152	118	325	23	61.2	111	57.7	22.3	43.1	64.8	19.8	120	368	215	316	0	0	741	0.204	244	139	62.9	107	644	2920	228	268	1960	275	99.5	924	100	228	7.06e-09	66.8	227	26.8
4.12e-09	158	119	145	372	357	3.63e-09	83.2	127	39.6	6.36	23.3	48.7	58.5	215	323	75.9	279	0	0	672	21.3	224	89	48.7	87.6	801	2090	278	213	1330	748	661	514	189	231	7.39e-09	63.9	211	4.35e-09
74.9	136	110	34.4	571	535	178	129	158	1.19e-05	0.702	5.18	48.7	55	70.9	325	219	177	0	0	686	160	303	2	37.2	96.7	1100	2070	220	348	1050	962	0.00149	956	216	210	9.72e-09	48.5	216	231
4.84e-09	135	0.000209	213	458	65	195	94.1	136	69.2	2.76	23.4	30.4	122	230	2.41e-09	135	4.67e-09	0	0	387	266	223	182	37.7	131	314	2400	247	50.9	919	715	123	822	143	242	7.41e-09	63.7	222	69.1
254	145	239	16.1	88.8	498	18.6	128	152	0.776	0.695	0.149	57	22	459	72.2	41.7	183	0	0	586	230	284	49.5	25.2	123	452	3620	212	343	2450	447	1240	842	317	159	155	35.8	196	371
198	121	418	1.1e-09	384	373	12.7	137	162	3.49	0	0	40.5	86.3	408	37.4	481	100	0	0	688	178	263	24.4	34.4	105	917	2160	254	282	2080	283	487	502	47.5	252	7.3e-09	64.6	217	4.23e-09
